scenario,framework,metric,e1_median,e3_median,degradation_ratio
single-submission,Vanilla,timeMs,189.0,846.5,4.479
single-submission,Vanilla,ttiMs,37.5,410.0,10.933
single-submission,Vanilla,peakHeapKB,2062.5,2075.0,1.006
single-submission,React,timeMs,219.0,1098.5,5.016
single-submission,React,ttiMs,47.0,500.5,10.649
single-submission,React,peakHeapKB,2852.0,3286.5,1.152
single-submission,Angular,timeMs,204.0,1007.5,4.939
single-submission,Angular,ttiMs,51.5,562.0,10.913
single-submission,Angular,peakHeapKB,3077.0,3485.0,1.133
stress-test,Vanilla,timeMs,566.5,1507.5,2.661
stress-test,Vanilla,ttiMs,36.5,408.0,11.178
stress-test,Vanilla,peakHeapKB,2392.0,2850.0,1.191
stress-test,React,timeMs,604.5,1799.0,2.976
stress-test,React,ttiMs,46.0,505.0,10.978
stress-test,React,peakHeapKB,3224.0,3308.5,1.026
stress-test,Angular,timeMs,506.0,1691.5,3.343
stress-test,Angular,ttiMs,51.5,568.0,11.029
stress-test,Angular,peakHeapKB,3353.0,3516.0,1.049
error-handling,Vanilla,timeMs,126.5,657.5,5.198
error-handling,Vanilla,ttiMs,36.5,418.0,11.452
error-handling,Vanilla,peakHeapKB,2009.0,2120.0,1.055
error-handling,React,timeMs,149.0,937.5,6.292
error-handling,React,ttiMs,47.0,517.5,11.011
error-handling,React,peakHeapKB,2591.0,3346.0,1.291
error-handling,Angular,timeMs,146.0,830.5,5.688
error-handling,Angular,ttiMs,52.0,580.0,11.154
error-handling,Angular,peakHeapKB,2884.0,3519.0,1.22
cold-load,Vanilla,timeMs,36.0,424.0,11.778
cold-load,Vanilla,ttiMs,34.0,414.0,12.176
cold-load,Vanilla,peakHeapKB,1085.0,1085.0,1.0
cold-load,React,timeMs,60.0,655.0,10.917
cold-load,React,ttiMs,46.0,506.0,11.0
cold-load,React,peakHeapKB,1627.0,1627.0,1.0
cold-load,Angular,timeMs,54.0,576.0,10.667
cold-load,Angular,ttiMs,52.0,569.5,10.952
cold-load,Angular,peakHeapKB,1987.0,1987.0,1.0
