scenario,environment,framework,timeMs_median,timeMs_q1,timeMs_q3,ttiMs_median,ttiMs_q1,ttiMs_q3,peakHeapKB_median,peakHeapKB_q1,peakHeapKB_q3
single-submission,E1,Vanilla,189.0,184.5,194.75,37.5,35.0,41.0,2062.5,2029.0,2610.0
single-submission,E1,React,219.0,209.0,224.0,47.0,45.0,49.0,2852.0,2851.0,2894.0
single-submission,E1,Angular,204.0,199.0,209.5,51.5,50.0,53.0,3077.0,3037.0,3084.0
single-submission,E2,Vanilla,711.5,700.25,723.0,354.0,347.0,359.0,2497.0,2075.0,2594.0
single-submission,E2,React,913.5,897.25,923.75,445.0,435.25,450.0,2876.0,2876.0,3298.0
single-submission,E2,Angular,833.0,823.25,848.5,464.5,451.0,473.5,3061.0,3061.0,3485.0
single-submission,E3,Vanilla,846.5,824.25,862.75,410.0,405.25,419.0,2075.0,2075.0,2494.5
single-submission,E3,React,1098.5,1059.5,1121.5,500.5,493.25,510.75,3286.5,2874.5,3346.5
single-submission,E3,Angular,1007.5,973.5,1022.75,562.0,552.25,576.0,3485.0,3069.0,3576.0
stress-test,E1,Vanilla,566.5,562.0,578.75,36.5,34.0,39.75,2392.0,2392.0,2392.0
stress-test,E1,React,604.5,594.0,615.5,46.0,44.25,47.75,3224.0,3204.25,3353.0
stress-test,E1,Angular,506.0,495.5,516.0,51.5,50.25,53.0,3353.0,3237.0,3572.25
stress-test,E2,Vanilla,1364.5,1347.5,1383.75,355.5,341.0,359.75,2465.5,2454.0,2773.0
stress-test,E2,React,1544.5,1531.25,1578.25,445.5,438.0,453.25,3186.5,3144.0,3392.25
stress-test,E2,Angular,1289.0,1260.25,1314.25,468.0,455.0,475.0,3616.5,3593.25,3627.0
stress-test,E3,Vanilla,1507.5,1483.75,1530.0,408.0,401.0,422.75,2850.0,2454.5,2936.75
stress-test,E3,React,1799.0,1774.75,1823.0,505.0,493.5,517.75,3308.5,3238.0,3319.75
stress-test,E3,Angular,1691.5,1663.0,1723.0,568.0,558.25,582.0,3516.0,3284.0,3533.75
error-handling,E1,Vanilla,126.5,122.0,129.0,36.5,34.0,38.0,2009.0,2009.0,2126.75
error-handling,E1,React,149.0,145.25,153.75,47.0,45.0,49.0,2591.0,2590.0,2591.0
error-handling,E1,Angular,146.0,143.0,149.75,52.0,51.0,55.0,2884.0,2883.0,2884.0
error-handling,E2,Vanilla,514.5,509.25,522.0,361.0,353.75,369.0,2542.0,2150.0,2542.0
error-handling,E2,React,716.0,708.25,719.75,455.0,450.25,459.75,3347.5,3346.0,3348.0
error-handling,E2,Angular,640.0,636.0,649.5,474.5,465.25,479.0,3099.5,3067.0,3126.5
error-handling,E3,Vanilla,657.5,638.0,665.0,418.0,411.25,430.75,2120.0,2009.0,2542.0
error-handling,E3,React,937.5,922.0,954.25,517.5,507.0,526.75,3346.0,2924.5,3348.0
error-handling,E3,Angular,830.5,822.0,841.75,580.0,567.0,589.25,3519.0,3225.0,3519.0
cold-load,E1,Vanilla,36.0,34.0,38.0,34.0,32.0,35.0,1085.0,1085.0,1085.0
cold-load,E1,React,60.0,59.0,61.75,46.0,44.25,47.75,1627.0,1626.25,1627.0
cold-load,E1,Angular,54.0,53.0,56.0,52.0,50.0,53.0,1987.0,1987.0,1987.0
cold-load,E2,Vanilla,359.0,347.75,367.75,355.5,340.75,362.75,1085.0,1085.0,1085.0
cold-load,E2,React,523.5,484.5,537.0,442.5,441.0,448.0,1627.0,1627.0,1627.0
cold-load,E2,Angular,474.0,464.0,480.5,470.0,459.0,476.75,1987.0,1987.0,1987.0
cold-load,E3,Vanilla,424.0,417.0,430.0,414.0,406.25,420.75,1085.0,1085.0,1085.0
cold-load,E3,React,655.0,588.75,663.75,506.0,500.0,515.5,1627.0,1626.25,1627.0
cold-load,E3,Angular,576.0,566.25,585.0,569.5,554.5,579.25,1987.0,1987.0,1987.0
